Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Investor Names
Seed Round - FortifyData,https://www.crunchbase.com/funding_round/fortifydata-seed--51a26bb2,FortifyData,https://www.crunchbase.com/organization/fortifydata,Seed,,,,2018-10-04,Startupbootcamp FinTech & CyberSecurity
Equity Crowdfunding - WitFoo,https://www.crunchbase.com/funding_round/witfoo-equity-crowdfunding--a5235661,WitFoo,https://www.crunchbase.com/organization/witfoo,Equity Crowdfunding,126840,USD,126840,2018-03-03,StartEngine
Series B - Snyk,https://www.crunchbase.com/funding_round/snyk-series-b--84c880bc,Snyk,https://www.crunchbase.com/organization/snyk,Series B,22000000,USD,22000000,2018-09-25,"Accel, Boldstart Ventures, GV, Heavybit"
Seed Round - YAXA,https://www.crunchbase.com/funding_round/yaxa-seed--43fc0e4a,YAXA,https://www.crunchbase.com/organization/yaxa,Seed,,,,2018-06-04,Startupbootcamp FinTech London
Seed Round - Westgate,https://www.crunchbase.com/funding_round/westgate-seed--a4ff8c8c,Westgate,https://www.crunchbase.com/organization/westgate,Seed,,,,2018-01-01,Startupbootcamp FinTech Mumbai
Seed Round - Kogniz,https://www.crunchbase.com/funding_round/kogniz-seed--32ebc9fc,Kogniz,https://www.crunchbase.com/organization/kogniz,Seed,,,,2019-04-04,Ulu Ventures
Series A - Acorus Networks,https://www.crunchbase.com/funding_round/acorus-networks-series-a--d6b7b85f,Acorus Networks,https://www.crunchbase.com/organization/acorus-networks,Series A,5000000,EUR,5752435,2018-10-09,"Elaia, Kima Ventures, Partech"
Grant - ISARA Corporation,https://www.crunchbase.com/funding_round/isara-corporation-grant--25a9e4e6,ISARA Corporation,https://www.crunchbase.com/organization/isara-corporation,Grant,7200000,CAD,5381769,2019-04-18,
Series B - Yunshan Networks,https://www.crunchbase.com/funding_round/yunshan-networks-series-b--2526b20f,Yunshan Networks,https://www.crunchbase.com/organization/yunshan-networks,Series B,11000000,USD,11000000,2018-09-27,"China Growth Capital | CGC, Lenovo Capital and Incubator Group (LCIG), Matrix Partners China, Northern Light Venture Capital, Redpoint Ventures China"
Seed Round - BotDoc,https://www.crunchbase.com/funding_round/botdoc-seed--570077c1,BotDoc,https://www.crunchbase.com/organization/botdoc,Seed,,,,2018-09-01,SixThirty CYBER
Seed Round - Path Network,https://www.crunchbase.com/funding_round/path-network-seed--b285ea71,Path Network,https://www.crunchbase.com/organization/path-network,Seed,1000000,USD,1000000,2019-04-12,
Seed Round - BotDoc,https://www.crunchbase.com/funding_round/botdoc-seed--ba63924a,BotDoc,https://www.crunchbase.com/organization/botdoc,Seed,,,,2018-05-01,SixThirty CYBER
Seed Round - Maticy,https://www.crunchbase.com/funding_round/maticy-seed--5c92eb0a,Maticy,https://www.crunchbase.com/organization/maticy,Seed,,,,2018-09-10,CyLon
Seed Round - Zercurity,https://www.crunchbase.com/funding_round/zercurity-seed--c41f007a,Zercurity,https://www.crunchbase.com/organization/zercurity,Seed,,,,2018-09-10,CyLon
Seed Round - Keepnet Labs,https://www.crunchbase.com/funding_round/keepnet-labs-seed--9df320b0,Keepnet Labs,https://www.crunchbase.com/organization/keepnet-labs,Seed,,,,2018-04-17,CyLon
